Time,Amount,V1,V2,V3,V4,V5,Class
0,100.50,1.25,0.35,-0.12,1.20,0.55,0
1,2500.00,-2.15,-1.45,2.10,-0.50,-1.20,1
2,75.00,0.55,1.30,0.25,0.95,0.40,0
3,560.75,-1.10,-0.25,1.50,-1.40,-0.85,1
4,42.30,1.05,0.80,-0.50,0.65,0.22,0
5,890.00,-2.50,-1.90,2.80,-1.10,-1.50,1
6,15.00,0.40,1.15,0.10,1.05,0.30,0
7,3200.90,-3.10,-2.40,3.50,-1.80,-2.20,1
8,58.25,1.20,0.65,-0.35,0.75,0.28,0
9,1100.00,-1.85,-1.20,1.95,-0.95,-1.10,1
10,90.10,0.85,1.05,-0.20,1.10,0.45,0
11,4500.50,-3.50,-2.90,4.10,-2.20,-2.80,1
12,25.75,0.60,1.25,0.18,0.88,0.36,0
13,980.40,-1.75,-1.10,1.70,-0.85,-0.95,1
14,70.00,1.15,0.72,-0.28,0.92,0.31,0
15,2300.00,-2.85,-2.10,3.20,-1.65,-1.95,1
16,12.50,0.45,1.08,0.15,1.02,0.27,0
17,670.20,-1.40,-0.85,1.30,-0.72,-0.80,1
18,55.60,1.00,0.78,-0.40,0.82,0.26,0
19,3900.75,-3.25,-2.70,3.90,-2.05,-2.55,1
20,34.90,0.70,1.12,0.20,0.98,0.38,0
21,1500.00,-2.05,-1.55,2.30,-1.25,-1.45,1
22,80.40,1.10,0.90,-0.18,1.08,0.42,0
23,5200.00,-3.80,-3.10,4.50,-2.45,-3.00,1
24,28.30,0.52,1.18,0.12,0.94,0.34,0
25,760.80,-1.55,-0.92,1.45,-0.80,-0.88,1
26,66.75,1.18,0.74,-0.32,0.86,0.29,0
27,2700.00,-2.95,-2.20,3.35,-1.75,-2.05,1
28,19.95,0.48,1.14,0.16,1.00,0.33,0
29,840.25,-1.62,-1.02,1.60,-0.88,-0.97,1
30,48.10,0.95,0.82,-0.26,0.78,0.24,0
31,3100.60,-3.05,-2.35,3.65,-1.92,-2.30,1
32,72.40,1.08,0.88,-0.22,1.04,0.41,0
33,1250.50,-1.95,-1.42,2.05,-1.05,-1.25,1
34,38.20,0.66,1.20,0.14,0.96,0.37,0
35,4600.00,-3.60,-2.95,4.20,-2.28,-2.75,1
36,22.15,0.50,1.16,0.19,0.99,0.35,0
37,980.90,-1.72,-1.08,1.82,-0.91,-1.05,1
38,61.00,1.14,0.76,-0.30,0.89,0.30,0
39,2900.45,-3.00,-2.28,3.48,-1.82,-2.15,1
